sample-id,group,length,day
DSC_2732,female,40.635,2013/7/1
DSC_2733,female,41.45,2015/7/14
DSC_2734,female,42.565,2015/7/14
DSC_2735,female,41.247,2015/7/14
DSC_2736,female,44.096,2015/7/14
DSC_2737,female,39.895,2015/7/14
DSC_2738,female,41.795,2015/7/14
DSC_2739,female,39.426,2015/7/14
DSC_2740,female,40.264,2015/7/14
DSC_2741,female,43.357,2015/7/14
DSC_2742,female,41.142,2015/7/14
DSC_2743,female,41.287,2015/7/14
DSC_2744,female,44.71,2015/7/14
DSC_2745,female,42.212,2015/7/14
DSC_2746,female,40.029,2015/7/14
DSC_2747,female,39.705,2015/7/14
DSC_2748,female,39.862,2015/7/14
DSC_2749,female,42.936,2015/7/14
DSC_2750,female,42.941,2015/7/14
DSC_2751,female,41.454,2015/7/14
DSC_2752,female,41.108,2015/7/14
DSC_2753,female,41.618,2015/7/14
DSC_2755,large_male,39.992,2015/7/14
DSC_2756,large_male,38.469,2015/7/14
DSC_2757,large_male,36.685,2015/7/14
DSC_2758,large_male,39.046,2015/7/14
DSC_2759,large_male,38.717,2015/7/14
DSC_2760,large_male,36.996,2015/7/14
DSC_2761,large_male,38.294,2015/7/14
DSC_2763,normal_male,33.139,2014/6/15
DSC_2764,normal_male,34.672,2014/6/15
DSC_2765,normal_male,31.962,2013/7/1
DSC_2766,normal_male,32.351,2013/7/1
DSC_2767,normal_male,30.39,2013/7/1
DSC_2768,normal_male,35.405,2016/6/27
DSC_2769,normal_male,34.401,2016/6/27
DSC_2770,normal_male,32.868,2016/6/27
DSC_2771,normal_male,37.296,2016/6/27
DSC_2772,normal_male,37.387,2016/6/27